Time,Temperature Sensor 1 (°F),Rate of Change Sensor 1 (°F/h),Temperature Sensor 2 (°F),Rate of Change Sensor 2 (°F/h),Average Temperature (°F),Moving Average Rate of Change Sensor 1 (°F/h),Moving Average Rate of Change Sensor 2 (°F/h),Average Rate of Change (°F/h)
2024-11-04 17:16:31.838194-05:00,982.259375,0.0,1059.3078125,0.0,1020.7835937499999,,,0.0
2024-11-04 17:16:38.143709-05:00,981.415625,-607.5,1058.7453125,-405.0,1020.0804687499999,,,-506.25
2024-11-04 17:16:44.235297-05:00,980.7828125,-455.625,1058.140625,-435.37499999996726,1019.46171875,,,-445.49999999998363
2024-11-04 17:16:50.265445-05:00,980.065625,-516.3750000000164,1057.60625,-384.74999999996726,1018.8359375,,,-450.5624999999918
2024-11-04 17:16:56.340749-05:00,979.3625,-506.25,1056.903125,-506.25,1018.1328125,,,-506.25
2024-11-04 17:17:02.361523-05:00,978.575,-566.9999999999345,1056.1578125,-536.6249999999673,1017.3664062500001,,,-551.8124999999509
2024-11-04 17:17:08.392669-05:00,977.9421875,-455.625,1055.58125,-415.1250000000982,1016.76171875,,,-435.3750000000491
2024-11-04 17:17:14.478399-05:00,977.3375,-435.3750000000491,1055.0890625,-354.375,1016.2132812499999,,,-394.87500000002456
2024-11-04 17:17:20.584813-05:00,976.83125,-364.50000000001637,1054.653125,-313.8749999999345,1015.7421875,,,-339.18749999997544
2024-11-04 17:17:26.622915-05:00,976.8171875,-10.124999999934516,1054.3015625,-253.125,1015.559375,,,-131.62499999996726
2024-11-04 17:17:32.651551-05:00,976.7328125,-60.750000000016364,1054.1046875,-141.75000000006548,1015.41875,,,-101.25000000004093
2024-11-04 17:17:38.719517-05:00,976.8171875,60.750000000016364,1053.809375,-212.62499999993452,1015.31328125,,,-75.93749999995907
2024-11-04 17:17:44.889724-05:00,976.94375,91.12499999998363,1053.89375,60.749999999934516,1015.41875,,,75.93749999995907
2024-11-04 17:17:50.948414-05:00,977.05625,80.99999999996726,1053.8375,-40.499999999901775,1015.4468750000001,,,20.250000000032742
2024-11-04 17:17:57.039980-05:00,976.9578125,-70.87499999995089,1053.584375,-182.25000000013097,1015.27109375,,,-126.56250000004093
2024-11-04 17:18:03.149750-05:00,976.5921875,-263.25000000001637,1053.3734375,-151.875,1014.9828124999999,,,-207.56250000000819
2024-11-04 17:18:09.254861-05:00,976.240625,-253.125,1053.10625,-192.37499999990177,1014.6734375000001,,,-222.7499999999509
2024-11-04 17:18:15.313684-05:00,975.734375,-364.50000000001637,1052.825,-202.5,1014.2796875,,,-283.5000000000082
2024-11-04 17:18:21.394779-05:00,975.59375,-101.25,1052.515625,-222.75000000003274,1014.0546875,,,-162.00000000001637
2024-11-04 17:18:27.456954-05:00,975.1859375,-293.62499999998363,1052.31875,-141.75000000006548,1013.7523437499999,-254.64374999999836,-251.60625000000164,-217.68750000002456
2024-11-04 17:18:33.553891-05:00,974.5671875,-445.49999999998363,1051.896875,-303.75,1013.23203125,-276.91874999999754,-266.79375000000164,-374.6249999999918
2024-11-04 17:18:39.642472-05:00,974.384375,-131.6250000000491,1051.7421875,-111.37499999993452,1013.06328125,-253.125,-252.11249999999836,-121.49999999999181
2024-11-04 17:18:45.726767-05:00,973.8078125,-415.12500000001637,1051.41875,-232.87499999996726,1012.61328125,-251.10000000000082,-241.98749999999836,-323.9999999999918
2024-11-04 17:18:51.906680-05:00,973.3015625,-364.4999999999345,1051.109375,-222.75000000003274,1012.20546875,-243.50624999999673,-233.88750000000164,-293.62499999998363
2024-11-04 17:18:57.927198-05:00,972.809375,-354.375,1050.96875,-101.25,1011.8890625,-235.91249999999673,-213.63750000000164,-227.8125
2024-11-04 17:19:03.986555-05:00,972.5421875,-192.37500000006548,1050.546875,-303.75,1011.54453125,-217.18125000000327,-201.99375000000327,-248.06250000003274
